confederates
Walter P. Lane
Washington C. Whitthorne
Wilburn Hill King
William Andrew Quarles
William A. Rinehart
William Barksdale
William B. Bate
William Beall
William B. Taliaferro
William Campbell Preston Breckinridge
William Duncan Smith
William Dunlap Simpson
William E. Gaines
William Elliott 
William E. Starke
William F. Perry
William F. Tucker
William G. Lewis
William G. M. Davis
William Harrison Martin
William H. Brawley
William H. Cate
William Henry Carroll
William Henry Fitzhugh Lee
William Henry Harman
William Henry Wallace
William H. F. Payne
William Hicks Jackson
William Hodges Mann
William H. Perry
William Hugh Young
William J. Hardee
William Lewis Cabell
William Lovenstein
William Mahone
William M. Browne
William M. Gardner
William Miller 
William N. Pendleton
William Paul Roberts
William Polk Hardeman
William Porcher Miles
William Preston 
William R. Boggs
William R. Peck
William Smith 
William Stephen Walker
William Terry 
William T. Martin
William T. Wofford
William Whedbee Kirkland
William Wirt Adams
William W. Loring
William W. Mackall
William Y. Slack
Wilmot Gibbes de Saussure
W. Jasper Talbert
Xavier Debray
Young Marshall Moody
Zachariah C. Deas
