confederates
Chilton Robert H.
Hatton Robert H.
Hoke Robert
Henderson Robert Johnson
Lowry Robert
Mayo Robert Murphy
Ould Robert
Maclay Robert Plunket
Garnett Robert S.
Richardson Robert V.
Pryor Roger Atkinson
Hanson Roger
Ripley Roswell S.
Barringer Rufus
Maxey Samuel B.
French Samuel Gibbs
Hopkins Samuel I.
Gholson Samuel J.
Field Scott
Barton Seth
Jackman Sidney D.
Buckner Simon Bolivar
Turner Smith S.
Borland Solon
Lee Stephen D.
Price Sterling
Johnson Stovepipe
Pilcher Theodore C.
Smith Thomas Benton
Jeter Thomas Bothwell
Croxton Thomas
Drayton Thomas
Flournoy Thomas
Toon Thomas F.
Harrison Thomas
Browne Thomas H. B.
Taylor Thomas H.
Churchill Thomas James
Jordan Thomas
Jarvis Thomas Jordan
Strait Thomas J.
Rosser Thomas L.
Logan Thomas M.
Waul Thomas Neville
Munford Thomas T.
Whitehead Thomas
Goree TJ
Bell Tyree H.
Girardey Victor
Gwynn Walter
Stevens Walter H.
Lane Walter P.
Whitthorne Washington C.
King Wilburn Hill
Quarles William Andrew
Rinehart William A.
Barksdale William
Bate William B.
Beall William
Taliaferro William B.
Breckinridge William Campbell Preston
Smith William Duncan
Simpson William Dunlap
Gaines William E.
Elliott William
Starke William E.
Perry William F.
Tucker William F.
Lewis William G.
Davis William G. M.
Martin William Harrison
Brawley William H.
Cate William H.
Carroll William Henry
Lee William Henry Fitzhugh
Harman William Henry
Wallace William Henry
Payne William H. F.
Jackson William Hicks
Mann William Hodges
Perry William H.
Young William Hugh
Hardee William J.
Cabell William Lewis
Lovenstein William
Mahone William
Browne William M.
Gardner William M.
Miller William
Pendleton William N.
Roberts William Paul
Hardeman William Polk
Miles William Porcher
Preston William
Boggs William R.
Peck William R.
Smith William
Walker William Stephen
Terry William
Martin William T.
Wofford William T.
Kirkland William Whedbee
Adams William Wirt
Loring William W.
Mackall William W.
Slack William Y.
Saussure Wilmot Gibbes de
Talbert W. Jasper
Debray Xavier
Moody Young Marshall
Deas Zachariah C.
