civil
Robinson Amelia Boynton
Brimmer Andrew
Amsterdam Anthony G.
Tureaud A. P.
Shores Arthur
Yayla Atilla
Circle Atticus
Lee Bill Lann
Armstrong Bromley
Evers Charles
Franklin C. L.
Bellecourt Clyde
King Coretta Scott
Jordan Dock J.
Roundtree Dovey Johnson
Jones Elaine
Salinas Emiliano
Douglas Emmitt
Rose Ernestine
Navlakha Gautam
Moore Harriette
Moore Harry T.
Hudson H. Claude
Goswami Hemant
Plessy Homer
Williams Hosea
Zinn Howard
Wells Ida B.
Gollobin Ira
Kurzban Ira J.
Sharmila Irom Chanu
Farmer James
Hood James
Clifford J. R.
Dianis Judith Browne
Jordan June
Jackson Lillie Mae Carroll
Berry Louis
Sanchez Manuel Olivieri
Simkins Modjeska Monteith
Brown Oscar  Sr.
Hair Penda
Irons Peter H.
Robinson Rashad
Man Reaper
Aoki Richard
Greenawalt R. Kent
Achtenberg Roberta
Roche Robert
Littlefeather Sacheen
Alexander Sadie Tanner Mossell
Tucker Samuel Wilbert
Bullock Scott
HaDin Shurat
Sundance
Berry Ted
Jemison T. J.
Woodhull Victoria
Liuzzo Viola
Montes Virginia Ginny
Bois W. E. B. Du
Davis W. Harry
Kunstler William
Trotter William Monroe
Ming William Robert
Clayton Xernona
